,name,year_of_selection,nationality,Latitude,Longitude,total_astronauts,end_date
2,"Glenn, John H., Jr.",1959,U.S.,38.0,-97.0,1,2019
4,"Carpenter, M. Scott",1959,U.S.,38.0,-97.0,2,2019
9,"Schirra, Walter M., Jr.",1959,U.S.,38.0,-97.0,3,2019
12,"Cooper, L. Gordon, Jr.",1959,U.S.,38.0,-97.0,4,2019
25,"Grissom, Virgil I.",1959,U.S.,38.0,-97.0,5,2019
116,"Shepard, Alan B., Jr.",1959,U.S.,38.0,-97.0,6,2019
163,"Slayton, Donald K.",1959,U.S.,38.0,-97.0,7,2019
0,"Gagarin, Yuri",1960,U.S.S.R/Russia,60.0,100.0,1,2019
1,"Titov, Gherman",1960,U.S.S.R/Russia,60.0,100.0,2,2019
5,"Nikolayev, Andriyan",1960,U.S.S.R/Russia,60.0,100.0,3,2019
7,"Popovich, Pavel",1960,U.S.S.R/Russia,60.0,100.0,4,2019
14,"Bykovsky, Valery",1960,U.S.S.R/Russia,60.0,100.0,5,2019
18,"Komarov, Vladimir",1960,U.S.S.R/Russia,60.0,100.0,6,2019
22,"Belyayev, Pavel",1960,U.S.S.R/Russia,60.0,100.0,7,2019
23,"Leonov, Aleksei",1960,U.S.S.R/Russia,60.0,100.0,8,2019
92,"Volynov, Boris",1960,U.S.S.R/Russia,60.0,100.0,9,2019
97,"Khrunov, Yevgeny",1960,U.S.S.R/Russia,60.0,100.0,10,2019
99,"Shonin, Georgi",1960,U.S.S.R/Russia,60.0,100.0,11,2019
107,"Gorbatko, Viktor",1960,U.S.S.R/Russia,60.0,100.0,12,2019
26,"Young, John W.",1962,U.S.,38.0,-97.0,8,2019
32,"McDivitt, James A.",1962,U.S.,38.0,-97.0,9,2019
34,"White, Edward H., II",1962,U.S.,38.0,-97.0,10,2019
35,"Conrad, Charles, Jr.",1962,U.S.,38.0,-97.0,11,2019
39,"Borman, Frank",1962,U.S.,38.0,-97.0,12,2019
41,"Lovell, James A., Jr.",1962,U.S.,38.0,-97.0,13,2019
45,"Stafford, Thomas P.",1962,U.S.,38.0,-97.0,14,2019
49,"Armstrong, Neil A.",1962,U.S.,38.0,-97.0,15,2019
17,"Tereshkova, Valentina",1962,U.S.S.R/Russia,60.0,100.0,13,2019
51,"Scott, David R.",1963,U.S.,38.0,-97.0,16,2019
54,"Cernan, Eugene A.",1963,U.S.,38.0,-97.0,17,2019
57,"Collins, Michael",1963,U.S.,38.0,-97.0,18,2019
59,"Gordon, Richard F., Jr.",1963,U.S.,38.0,-97.0,19,2019
61,"Aldrin, Edwin Eugene, Jr.",1963,U.S.,38.0,-97.0,20,2019
63,"Eisele, Donn F.",1963,U.S.,38.0,-97.0,21,2019
64,"Cunningham, Ronnie Walter",1963,U.S.,38.0,-97.0,22,2019
88,"Anders, William Alison",1963,U.S.,38.0,-97.0,23,2019
98,"Schweickart, Russell L.",1963,U.S.,38.0,-97.0,24,2019
110,"Bean, Alan Lavern",1963,U.S.,38.0,-97.0,25,2019
89,"Shatalov, Vladimir",1963,U.S.S.R/Russia,60.0,100.0,14,2019
103,"Filipchenko, Anatoly",1963,U.S.S.R/Russia,60.0,100.0,15,2019
122,"Dobrovolski, Georgi",1963,U.S.S.R/Russia,60.0,100.0,16,2019
151,"Artyukhin, Yuri",1963,U.S.S.R/Russia,60.0,100.0,17,2019
153,"Dyomin, Lev",1963,U.S.S.R/Russia,60.0,100.0,18,2019
154,"Gubarev, Aleksei",1963,U.S.S.R/Russia,60.0,100.0,19,2019
164,"Zholobov, Vitali",1963,U.S.S.R/Russia,60.0,100.0,20,2019
20,"Feoktistov, Konstantin",1964,U.S.S.R/Russia,60.0,100.0,21,2019
21,"Yegorov, Boris",1964,U.S.S.R/Russia,60.0,100.0,22,2019
87,"Beregovoi, Georgi",1964,U.S.S.R/Russia,60.0,100.0,23,2019
139,"Lazarev, Vasili",1964,U.S.S.R/Russia,60.0,100.0,24,2019
131,"Schmitt, Harrison H.",1965,U.S.,38.0,-97.0,26,2019
134,"Kerwin, Joseph P.",1965,U.S.,38.0,-97.0,27,2019
137,"Garriott, Owen K.",1965,U.S.,38.0,-97.0,28,2019
145,"Gibson, Edward G.",1965,U.S.,38.0,-97.0,29,2019
146,"Klimuk, Pyotr",1965,U.S.S.R/Russia,60.0,100.0,25,2019
152,"Sarafanov, Gennadi",1965,U.S.S.R/Russia,60.0,100.0,26,2019
167,"Zudov, Vyacheslav",1965,U.S.S.R/Russia,60.0,100.0,27,2019
168,"Rozhdestvensky, Valery",1965,U.S.S.R/Russia,60.0,100.0,28,2019
169,"Glazkov, Yuri",1965,U.S.S.R/Russia,60.0,100.0,29,2019
202,"Kizim, Leonid",1965,U.S.S.R/Russia,60.0,100.0,30,2019
73,"Engle, Joe H.",1966,U.S.,38.0,-97.0,30,2019
112,"Swigert, John L., Jr.",1966,U.S.,38.0,-97.0,31,2019
113,"Haise, Fred W., Jr.",1966,U.S.,38.0,-97.0,32,2019
117,"Roosa, Stuart A.",1966,U.S.,38.0,-97.0,33,2019
118,"Mitchell, Edgar D.",1966,U.S.,38.0,-97.0,34,2019
124,"Worden, Alfred M.",1966,U.S.,38.0,-97.0,35,2019
125,"Irwin, James B.",1966,U.S.,38.0,-97.0,36,2019
126,"Mattingly, Thomas K., II",1966,U.S.,38.0,-97.0,37,2019
129,"Duke, Jr. Charles Moss",1966,U.S.,38.0,-97.0,38,2019
130,"Evans, Ronald E.",1966,U.S.,38.0,-97.0,39,2019
132,"Weitz, Paul J.",1966,U.S.,38.0,-97.0,40,2019
135,"Lousma, Jack R.",1966,U.S.,38.0,-97.0,41,2019
143,"Carr, Gerald P.",1966,U.S.,38.0,-97.0,42,2019
144,"Pogue, William R.",1966,U.S.,38.0,-97.0,43,2019
159,"Brand, Vance D.",1966,U.S.,38.0,-97.0,44,2019
216,"Overmyer, Robert F.",1966,U.S.,38.0,-97.0,45,2019
280,"McCandless, Bruce, II",1966,U.S.,38.0,-97.0,46,2019
352,"Lind, Don L.",1966,U.S.,38.0,-97.0,47,2019
218,"Allen, Joseph P.",1967,U.S.,38.0,-97.0,48,2019
220,"Lenoir, William B.",1967,U.S.,38.0,-97.0,49,2019
225,"Musgrave, Franklin Story",1967,U.S.,38.0,-97.0,50,2019
259,"Thornton, William E.",1967,U.S.,38.0,-97.0,51,2019
264,"Parker, Robert A. R.",1967,U.S.,38.0,-97.0,52,2019
370,"Henize, Karl G.",1967,U.S.,38.0,-97.0,53,2019
371,"England, Anthony W.",1967,U.S.,38.0,-97.0,54,2019
170,"Kovalyonok, Vladimir",1967,U.S.S.R/Russia,60.0,100.0,31,2019
190,"Lyakhov, Vladimir",1967,U.S.S.R/Russia,60.0,100.0,32,2019
198,"Malyshev, Yuri",1967,U.S.S.R/Russia,60.0,100.0,33,2019
94,"Yeliseyev, Aleksei",1968,U.S.S.R/Russia,60.0,100.0,34,2019
100,"Kubasov, Valeri",1968,U.S.S.R/Russia,60.0,100.0,35,2019
105,"Volkov, Vladislav",1968,U.S.S.R/Russia,60.0,100.0,36,2019
114,"Sevastyanov, Vitali",1968,U.S.S.R/Russia,60.0,100.0,37,2019
119,"Rukavishnikov, Nikolai",1968,U.S.S.R/Russia,60.0,100.0,38,2019
123,"Patsayev, Viktor",1968,U.S.S.R/Russia,60.0,100.0,39,2019
140,"Makarov, Oleg",1968,U.S.S.R/Russia,60.0,100.0,40,2019
156,"Grechko, Georgi",1968,U.S.S.R/Russia,60.0,100.0,41,2019
68,"Crippen, Robert L.",1969,U.S.,38.0,-97.0,55,2019
75,"Truly, Richard H.",1969,U.S.,38.0,-97.0,56,2019
77,"Fullerton, Charles G.",1969,U.S.,38.0,-97.0,57,2019
83,"Hartsfield, Henry W., Jr.",1969,U.S.,38.0,-97.0,58,2019
221,"Bobko, Karol J.",1969,U.S.,38.0,-97.0,59,2019
224,"Peterson, Donald H.",1969,U.S.,38.0,-97.0,60,2019
79,"Berezovoy, Anatoly",1970,U.S.S.R/Russia,60.0,100.0,42,2019
177,"Romanenko, Yuri",1970,U.S.S.R/Russia,60.0,100.0,43,2019
180,"Dzhanibekov, Vladimir",1970,U.S.S.R/Russia,60.0,100.0,44,2019
194,"Popov, Leonid",1970,U.S.S.R/Russia,60.0,100.0,45,2019
149,"Lebedev, Valentin",1972,U.S.S.R/Russia,60.0,100.0,46,2019
447,"Polyakov, Valeri",1972,U.S.S.R/Russia,60.0,100.0,47,2019
165,"Aksyonov, Vladimir",1973,U.S.S.R/Russia,60.0,100.0,48,2019
173,"Ryumin, Valery",1973,U.S.S.R/Russia,60.0,100.0,49,2019
186,"Ivanchenkov, Aleksandr",1973,U.S.S.R/Russia,60.0,100.0,50,2019
205,"Strekalov, Gennadi",1973,U.S.S.R/Russia,60.0,100.0,51,2019
185,Vladimir Remek,1976,Czechoslovakia,49.75,15.5,1,2019
189,"Jahn, Sigmund",1976,Germany,51.0,9.0,1,2019
188,Miroslaw Hermaszewske,1976,Poland,52.0,20.0,1,2019
231,"Titov, Vladimir",1976,U.S.S.R/Russia,60.0,100.0,52,2019
382,"Vasyutin, Vladimir",1976,U.S.S.R/Russia,60.0,100.0,53,2019
383,"Volkov, Alexander",1976,U.S.S.R/Russia,60.0,100.0,54,2019
441,"Solovyev, Anatoly",1976,U.S.S.R/Russia,60.0,100.0,55,2019
913,"Kadenyuk, Leonid",1976,U.S.S.R/Ukraine,49.0,32.0,1,2019
294,"Volk, Igor",1977,U.S.S.R/Russia,60.0,100.0,56,2019
440,"Levchenko, Anatoli",1977,U.S.S.R/Russia,60.0,100.0,57,2019
193,Georgi Ivanov,1978,Bulgaria,43.0,25.0,1,2019
446,"Aleksandrov, Aleksandr",1978,Bulgaria,43.0,25.0,2,2019
201,Arnaldo Tamayo Mendez,1978,Cuba,21.5,-80.0,1,2019
268,"Merbold, Ulf",1978,Germany,51.0,9.0,2,2019
197,Bertalan Farkas,1978,Hungary,47.0,20.0,1,2019
