,name,mission_title,hours_mission,decade_of_mission,year_of_mission,sex,year_of_birth,nationality,total_number_of_missions,total_hrs_sum
0,"Gagarin, Yuri",Vostok 1,1.77,1960,1961,male,1934,U.S.S.R/Russia,1,1.77
1,"Titov, Gherman",Vostok 2,25.0,1960,1961,male,1935,U.S.S.R/Russia,1,25.3
2,"Glenn, John H., Jr.",MA-6,5.0,1960,1962,male,1921,U.S.,2,218.0
3,"Glenn, John H., Jr.",STS-95,213.0,1990,1998,male,1921,U.S.,2,218.0
4,"Carpenter, M. Scott",Mercury-Atlas 7,5.0,1960,1962,male,1925,U.S.,1,5.0
5,"Nikolayev, Andriyan",Vostok 3,94.0,1960,1962,male,1929,U.S.S.R/Russia,2,519.33
6,"Nikolayev, Andriyan",Soyuz 9,424.0,1970,1970,male,1929,U.S.S.R/Russia,2,519.33
7,"Popovich, Pavel",Vostok 4,70.93,1960,1962,male,1930,U.S.S.R/Russia,2,448.45
8,"Popovich, Pavel",Soyuz 14,377.0,1970,1974,male,1930,U.S.S.R/Russia,2,448.45
9,"Schirra, Walter M., Jr.",Mercury-Atlas 8,9.22,1960,1962,male,1923,U.S.,3,295.2
10,"Schirra, Walter M., Jr.",Gemini 6A,25.87,1960,1965,male,1923,U.S.,3,295.2
11,"Schirra, Walter M., Jr.",Apollo 7,260.13,1960,1968,male,1923,U.S.,3,295.2
12,"Cooper, L. Gordon, Jr.",Mercury-Atlas 9,34.32,1960,1963,male,1927,U.S.,2,225.0
13,"Cooper, L. Gordon, Jr.",Gemini 5,191.92,1960,1965,male,1927,U.S.,2,225.0
14,"Bykovsky, Valery",Vostok 5,119.13,1960,1963,male,1934,U.S.S.R/Russia,3,497.8
15,"Bykovsky, Valery",Soyuz 22,189.0,1970,1976,male,1934,U.S.S.R/Russia,3,497.8
16,"Bykovsky, Valery",Soyuz 31/29,188.0,1970,1978,male,1934,U.S.S.R/Russia,3,497.8
17,"Tereshkova, Valentina",Vostok 6,70.83,1960,1963,female,1937,U.S.S.R/Russia,1,70.83
18,"Komarov, Vladimir",Voskhod 1,24.28,1960,1964,male,1927,U.S.S.R/Russia,2,51.07
19,"Komarov, Vladimir",Soyuz 1,26.78,1960,1967,male,1927,U.S.S.R/Russia,2,51.07
20,"Feoktistov, Konstantin",Voskhod 1,24.28,1960,1964,male,1926,U.S.S.R/Russia,1,24.28
21,"Yegorov, Boris",Voskhod 1,24.28,1960,1964,male,1937,U.S.S.R/Russia,1,24.28
22,"Belyayev, Pavel",Voskhod 2,26.03,1960,1965,male,1925,U.S.S.R/Russia,1,26.03
23,"Leonov, Aleksei",Voskhod 2,26.03,1960,1965,male,1934,U.S.S.R/Russia,2,168.53
24,"Leonov, Aleksei",Soyuz 19,142.0,1970,1975,male,1934,U.S.S.R/Russia,2,168.53
25,"Grissom, Virgil I.",Gemini 3,4.86,1960,1965,male,1926,U.S.,1,4.86
26,"Young, John W.",Gemini 3,4.86,1960,1965,male,1930,U.S.,6,835.65
27,"Young, John W.",Gemini 10,70.77,1960,1966,male,1930,U.S.,6,835.65
28,"Young, John W.",Apollo 10,192.05,1960,1969,male,1930,U.S.,6,835.65
29,"Young, John W.",Apollo 16,265.85,1970,1972,male,1930,U.S.,6,835.65
30,"Young, John W.",STS-1,54.5,1980,1981,male,1930,U.S.,6,835.65
31,"Young, John W.",STS-9,240.0,1980,1983,male,1930,U.S.,6,835.65
32,"McDivitt, James A.",Gemini 4,97.0,1960,1965,male,1929,U.S.,2,338.0
33,"McDivitt, James A.",Apollo 9,241.0,1960,1969,male,1929,U.S.,2,338.0
34,"White, Edward H., II",Gemini 4,97.93,1960,1965,male,1930,U.S.,1,97.93
35,"Conrad, Charles, Jr.",Gemini 5,191.0,1960,1965,male,1930,U.S.,4,1179.0
36,"Conrad, Charles, Jr.",Gemini 11,71.0,1960,1966,male,1930,U.S.,4,1179.0
37,"Conrad, Charles, Jr.",Apollo 12,244.0,1960,1969,male,1930,U.S.,4,1179.0
38,"Conrad, Charles, Jr.",Skylab 2,673.0,1970,1973,male,1930,U.S.,4,1179.0
39,"Borman, Frank",Gemini 7,330.58,1960,1965,male,1928,U.S.,2,477.0
40,"Borman, Frank",Apollo 8,147.0,1960,1968,male,1928,U.S.,2,477.0
41,"Lovell, James A., Jr.",Gemini 7,330.58,1960,1965,male,1928,U.S.,4,715.05
42,"Lovell, James A., Jr.",Gemini 12,94.0,1960,1966,male,1928,U.S.,4,715.05
43,"Lovell, James A., Jr.",Apollo 8,147.0,1960,1968,male,1928,U.S.,4,715.05
44,"Lovell, James A., Jr.",Apollo 13,142.0,1970,1970,male,1928,U.S.,4,715.05
45,"Stafford, Thomas P.",gemini 6A,25.86,1960,1965,male,1930,U.S.,4,508.0
46,"Stafford, Thomas P.",Gemini 9A,72.0,1960,1966,male,1930,U.S.,4,508.0
47,"Stafford, Thomas P.",Apollo 10,192.0,1960,1969,male,1930,U.S.,4,508.0
48,"Stafford, Thomas P.",ASTP,217.0,1970,1975,male,1930,U.S.,4,508.0
49,"Armstrong, Neil A.",Gemini 8,11.0,1960,1966,male,1930,U.S.,2,206.0
50,"Armstrong, Neil A.",Apollo 11,195.0,1960,1969,male,1930,U.S.,2,206.0
51,"Scott, David R.",Gemini 8,240.68,1960,1966,male,1932,U.S.,3,546.0
52,"Scott, David R.",Apollo 9,241.0,1960,1969,male,1932,U.S.,3,546.0
53,"Scott, David R.",Apollo 15,312.0,1970,1971,male,1932,U.S.,3,546.0
54,"Cernan, Eugene A.",Gemini 9A,72.0,1960,1966,male,1934,U.S.,3,565.0
55,"Cernan, Eugene A.",Apollo 10,192.05,1960,1969,male,1934,U.S.,3,565.0
56,"Cernan, Eugene A.",Apollo 17,302.0,1970,1972,male,1934,U.S.,3,565.0
57,"Collins, Michael",Gemini 10,71.0,1960,1966,male,1930,U.S.,2,266.0
58,"Collins, Michael",Apollo 11,195.0,1960,1969,male,1930,U.S.,2,266.0
59,"Gordon, Richard F., Jr.",Gemini 11,71.28,1960,1966,male,1929,U.S.,2,315.88
60,"Gordon, Richard F., Jr.",Apollo 12,244.6,1960,1969,male,1929,U.S.,2,315.88
61,"Aldrin, Edwin Eugene, Jr.",Gemini 12,94.58,1960,1966,male,1930,U.S.,2,289.0
62,"Aldrin, Edwin Eugene, Jr.",Apollo 11,195.0,1960,1969,male,1930,U.S.,2,289.0
63,"Eisele, Donn F.",Apollo 7,260.13,1960,1968,male,1930,U.S.,1,260.0
64,"Cunningham, Ronnie Walter",Apollo 7,260.13,1960,1968,male,1932,U.S.,1,260.13
65,"Savinykh, Viktor",Salyut 7,4035.0,1980,1985,male,1940,U.S.S.R/Russia,3,6065.63
66,"Savinykh, Viktor",2,236.0,1980,1988,male,1940,U.S.S.R/Russia,3,6065.63
